Rank,Name,Industry,Revenue (USD millions),Revenue growth,Employees,Headquarters
<built-in method strip of str object at 0x000002308560DDB0>,<built-in method strip of str object at 0x000002308560F930>,<built-in method strip of str object at 0x000002308560E2F0>,<built-in method strip of str object at 0x000002308560F470>,<built-in method strip of str object at 0x000002308560D430>,<built-in method strip of str object at 0x000002308560F730>,<built-in method strip of str object at 0x000002308560D130>
<built-in method strip of str object at 0x000002308560CD30>,<built-in method strip of str object at 0x000002308561F960>,<built-in method strip of str object at 0x000002308560CB70>,<built-in method strip of str object at 0x000002308560F1B0>,<built-in method strip of str object at 0x000002308560C5B0>,<built-in method strip of str object at 0x000002308560CC70>,<built-in method strip of str object at 0x000002308561F9B0>
<built-in method strip of str object at 0x000002308560D7F0>,<built-in method strip of str object at 0x000002308560D730>,<built-in method strip of str object at 0x000002308560FA70>,<built-in method strip of str object at 0x000002308560DFB0>,<built-in method strip of str object at 0x000002308560FD70>,<built-in method strip of str object at 0x000002308560EBF0>,<built-in method strip of str object at 0x0000023085620030>
<built-in method strip of str object at 0x000002308560DAB0>,<built-in method strip of str object at 0x000002308560FEF0>,<built-in method strip of str object at 0x000002308560E6B0>,<built-in method strip of str object at 0x000002308560FB30>,<built-in method strip of str object at 0x000002308560D3B0>,<built-in method strip of str object at 0x000002308560F670>,<built-in method strip of str object at 0x0000023085620710>
<built-in method strip of str object at 0x000002308560D3F0>,<built-in method strip of str object at 0x000002308560FE70>,<built-in method strip of str object at 0x000002308560F530>,<built-in method strip of str object at 0x000002308560F030>,<built-in method strip of str object at 0x000002308560E3B0>,<built-in method strip of str object at 0x000002308560E870>,<built-in method strip of str object at 0x000002308560CFF0>
<built-in method strip of str object at 0x000002308560F7F0>,<built-in method strip of str object at 0x000002308560C270>,<built-in method strip of str object at 0x000002308560C9F0>,<built-in method strip of str object at 0x000002308560CDB0>,<built-in method strip of str object at 0x000002308560CEB0>,<built-in method strip of str object at 0x000002308560C8F0>,<built-in method strip of str object at 0x00000230856205D0>
<built-in method strip of str object at 0x000002308560FB70>,<built-in method strip of str object at 0x0000023085621520>,<built-in method strip of str object at 0x000002308560DDF0>,<built-in method strip of str object at 0x000002308560EFB0>,<built-in method strip of str object at 0x000002308560DB30>,<built-in method strip of str object at 0x000002308560F970>,<built-in method strip of str object at 0x0000023085621700>
<built-in method strip of str object at 0x000002308560F870>,<built-in method strip of str object at 0x000002308560FFB0>,<built-in method strip of str object at 0x0000023085621840>,<built-in method strip of str object at 0x000002308560EA30>,<built-in method strip of str object at 0x000002308560D5B0>,<built-in method strip of str object at 0x000002308560F370>,<built-in method strip of str object at 0x00000230856219D0>
<built-in method strip of str object at 0x000002308560F0B0>,<built-in method strip of str object at 0x000002308560DD30>,<built-in method strip of str object at 0x000002308560C6B0>,<built-in method strip of str object at 0x000002308560CBB0>,<built-in method strip of str object at 0x000002308560DF70>,<built-in method strip of str object at 0x000002308560F330>,<built-in method strip of str object at 0x00000230856208A0>
<built-in method strip of str object at 0x000002308560D930>,<built-in method strip of str object at 0x0000023085621D90>,<built-in method strip of str object at 0x0000023085621E80>,<built-in method strip of str object at 0x000002308560D8F0>,<built-in method strip of str object at 0x000002308560DCB0>,<built-in method strip of str object at 0x000002308560D4B0>,<built-in method strip of str object at 0x0000023085622060>
<built-in method strip of str object at 0x000002308560C970>,<built-in method strip of str object at 0x000002308560EDB0>,<built-in method strip of str object at 0x000002308560D630>,<built-in method strip of str object at 0x000002308560E370>,<built-in method strip of str object at 0x000002308560DE70>,<built-in method strip of str object at 0x000002308560CC30>,<built-in method strip of str object at 0x00000230856203A0>
<built-in method strip of str object at 0x000002308560CCB0>,<built-in method strip of str object at 0x000002308560F430>,<built-in method strip of str object at 0x000002308560E670>,<built-in method strip of str object at 0x000002308560EFF0>,<built-in method strip of str object at 0x000002308560C9B0>,<built-in method strip of str object at 0x000002308560E630>,<built-in method strip of str object at 0x0000023085620DA0>
<built-in method strip of str object at 0x000002308560EDF0>,<built-in method strip of str object at 0x000002308560CDF0>,<built-in method strip of str object at 0x000002308560F9F0>,<built-in method strip of str object at 0x000002308560EC30>,<built-in method strip of str object at 0x000002308560F3F0>,<built-in method strip of str object at 0x000002308560DCF0>,<built-in method strip of str object at 0x0000023085621C00>
<built-in method strip of str object at 0x000002308560FBF0>,<built-in method strip of str object at 0x000002308560FAF0>,<built-in method strip of str object at 0x000002308560F2F0>,<built-in method strip of str object at 0x000002308560C3F0>,<built-in method strip of str object at 0x000002308560E1F0>,<built-in method strip of str object at 0x000002308560D5F0>,<built-in method strip of str object at 0x0000023085620760>
<built-in method strip of str object at 0x000002308560E730>,<built-in method strip of str object at 0x000002308560CCF0>,<built-in method strip of str object at 0x0000023085622CE0>,<built-in method strip of str object at 0x000002308560D570>,<built-in method strip of str object at 0x000002308560FDB0>,<built-in method strip of str object at 0x000002308560CF30>,<built-in method strip of str object at 0x0000023085622EC0>
<built-in method strip of str object at 0x000002308560F070>,<built-in method strip of str object at 0x000002308560FAB0>,<built-in method strip of str object at 0x000002308560F830>,<built-in method strip of str object at 0x000002308560CE70>,<built-in method strip of str object at 0x000002308560DA70>,<built-in method strip of str object at 0x000002308560EEB0>,<built-in method strip of str object at 0x0000023085620E40>
<built-in method strip of str object at 0x000002308560E230>,<built-in method strip of str object at 0x0000023085623230>,<built-in method strip of str object at 0x000002308560FF30>,<built-in method strip of str object at 0x000002308560D530>,<built-in method strip of str object at 0x000002308560EE70>,<built-in method strip of str object at 0x000002308560E1B0>,<built-in method strip of str object at 0x00000230856234B0>
<built-in method strip of str object at 0x000002308560D670>,<built-in method strip of str object at 0x000002308560F4B0>,<built-in method strip of str object at 0x000002308560CA30>,<built-in method strip of str object at 0x000002308560D4F0>,<built-in method strip of str object at 0x000002308560F5F0>,<built-in method strip of str object at 0x000002308560FEB0>,<built-in method strip of str object at 0x0000023085621FC0>
<built-in method strip of str object at 0x000002308560E070>,<built-in method strip of str object at 0x000002308560CB30>,<built-in method strip of str object at 0x0000023085623870>,<built-in method strip of str object at 0x000002308560FBB0>,<built-in method strip of str object at 0x000002308560E830>,<built-in method strip of str object at 0x00000230856194F0>,<built-in method strip of str object at 0x0000023085623AA0>
<built-in method strip of str object at 0x000002308560E9B0>,<built-in method strip of str object at 0x0000023085623B90>,<built-in method strip of str object at 0x0000023085581950>,<built-in method strip of str object at 0x000002308560ED70>,<built-in method strip of str object at 0x000002308561A5B0>,<built-in method strip of str object at 0x00000230856181B0>,<built-in method strip of str object at 0x0000023085618130>
<built-in method strip of str object at 0x000002308561A030>,<built-in method strip of str object at 0x0000023085581D70>,<built-in method strip of str object at 0x00000230856190B0>,<built-in method strip of str object at 0x000002308561A6F0>,<built-in method strip of str object at 0x0000023085618CB0>,<built-in method strip of str object at 0x000002308561A870>,<built-in method strip of str object at 0x0000023085622600>
<built-in method strip of str object at 0x0000023085618070>,<built-in method strip of str object at 0x0000023085623730>,<built-in method strip of str object at 0x00000230856224C0>,<built-in method strip of str object at 0x0000023085618EB0>,<built-in method strip of str object at 0x0000023085619E30>,<built-in method strip of str object at 0x0000023085619130>,<built-in method strip of str object at 0x0000023085618F70>
<built-in method strip of str object at 0x00000230856188B0>,<built-in method strip of str object at 0x000002308561A9B0>,<built-in method strip of str object at 0x0000023085623960>,<built-in method strip of str object at 0x0000023085619CF0>,<built-in method strip of str object at 0x000002308561A230>,<built-in method strip of str object at 0x0000023085618D70>,<built-in method strip of str object at 0x0000023085623CD0>
<built-in method strip of str object at 0x0000023085619370>,<built-in method strip of str object at 0x0000023085620440>,<built-in method strip of str object at 0x0000023085623140>,<built-in method strip of str object at 0x000002308561AAF0>,<built-in method strip of str object at 0x0000023085619070>,<built-in method strip of str object at 0x0000023085619530>,<built-in method strip of str object at 0x00000230856195F0>
<built-in method strip of str object at 0x000002308561A330>,<built-in method strip of str object at 0x0000023085624A80>,<built-in method strip of str object at 0x0000023085624B70>,<built-in method strip of str object at 0x000002308561AC30>,<built-in method strip of str object at 0x0000023085619670>,<built-in method strip of str object at 0x0000023085618370>,<built-in method strip of str object at 0x0000023085624D00>
<built-in method strip of str object at 0x00000230856182B0>,<built-in method strip of str object at 0x000002308561AD70>,<built-in method strip of str object at 0x0000023085619A70>,<built-in method strip of str object at 0x0000023085619CB0>,<built-in method strip of str object at 0x0000023085618730>,<built-in method strip of str object at 0x00000230856196B0>,<built-in method strip of str object at 0x0000023085624760>
<built-in method strip of str object at 0x00000230856180B0>,<built-in method strip of str object at 0x0000023085625070>,<built-in method strip of str object at 0x000002308561A170>,<built-in method strip of str object at 0x000002308561AFF0>,<built-in method strip of str object at 0x0000023085618330>,<built-in method strip of str object at 0x0000023085618170>,<built-in method strip of str object at 0x0000023085625340>
<built-in method strip of str object at 0x00000230856192F0>,<built-in method strip of str object at 0x0000023085619BF0>,<built-in method strip of str object at 0x00000230856199B0>,<built-in method strip of str object at 0x0000023085618930>,<built-in method strip of str object at 0x0000023085618FB0>,<built-in method strip of str object at 0x000002308561A2F0>,<built-in method strip of str object at 0x00000230856248A0>
<built-in method strip of str object at 0x0000023085619470>,<built-in method strip of str object at 0x00000230856256B0>,<built-in method strip of str object at 0x00000230856257A0>,<built-in method strip of str object at 0x000002308561B0F0>,<built-in method strip of str object at 0x000002308561B270>,<built-in method strip of str object at 0x0000023085619BB0>,<built-in method strip of str object at 0x0000023085625980>
<built-in method strip of str object at 0x000002308561A130>,<built-in method strip of str object at 0x000002308561AD30>,<built-in method strip of str object at 0x0000023085625AC0>,<built-in method strip of str object at 0x0000023085619030>,<built-in method strip of str object at 0x0000023085618430>,<built-in method strip of str object at 0x000002308561B3B0>,<built-in method strip of str object at 0x0000023085625C00>
<built-in method strip of str object at 0x0000023085618230>,<built-in method strip of str object at 0x000002308561B130>,<built-in method strip of str object at 0x0000023085625D40>,<built-in method strip of str object at 0x000002308561A0F0>,<built-in method strip of str object at 0x000002308561A8B0>,<built-in method strip of str object at 0x0000023085619A30>,<built-in method strip of str object at 0x0000023085625F70>
<built-in method strip of str object at 0x0000023085619D70>,<built-in method strip of str object at 0x000002308561B530>,<built-in method strip of str object at 0x00000230856260B0>,<built-in method strip of str object at 0x0000023085619EF0>,<built-in method strip of str object at 0x000002308561B2F0>,<built-in method strip of str object at 0x000002308561A730>,<built-in method strip of str object at 0x0000023085626290>
<built-in method strip of str object at 0x0000023085619DB0>,<built-in method strip of str object at 0x0000023085581BF0>,<built-in method strip of str object at 0x000002308561B630>,<built-in method strip of str object at 0x000002308561A630>,<built-in method strip of str object at 0x000002308561AF70>,<built-in method strip of str object at 0x0000023085618B30>,<built-in method strip of str object at 0x000002308561B230>
<built-in method strip of str object at 0x000002308561A2B0>,<built-in method strip of str object at 0x000002308561B770>,<built-in method strip of str object at 0x000002308561B8B0>,<built-in method strip of str object at 0x0000023085619FF0>,<built-in method strip of str object at 0x000002308561ACF0>,<built-in method strip of str object at 0x000002308561AFB0>,<built-in method strip of str object at 0x0000023085582C70>
<built-in method strip of str object at 0x0000023085618A30>,<built-in method strip of str object at 0x0000023085626920>,<built-in method strip of str object at 0x000002308561A970>,<built-in method strip of str object at 0x000002308561B9F0>,<built-in method strip of str object at 0x0000023085618E30>,<built-in method strip of str object at 0x0000023085618B70>,<built-in method strip of str object at 0x0000023085626B50>
<built-in method strip of str object at 0x0000023085618EF0>,<built-in method strip of str object at 0x000002308561A0B0>,<built-in method strip of str object at 0x000002308561ACB0>,<built-in method strip of str object at 0x00000230856187F0>,<built-in method strip of str object at 0x00000230856193F0>,<built-in method strip of str object at 0x0000023085619F70>,<built-in method strip of str object at 0x00000230856267E0>
<built-in method strip of str object at 0x0000023085618570>,<built-in method strip of str object at 0x000002308561BB70>,<built-in method strip of str object at 0x000002308561BCF0>,<built-in method strip of str object at 0x000002308561B0B0>,<built-in method strip of str object at 0x0000023085619170>,<built-in method strip of str object at 0x000002308561BBB0>,<built-in method strip of str object at 0x0000023085626790>
<built-in method strip of str object at 0x0000023085619770>,<built-in method strip of str object at 0x0000023085627190>,<built-in method strip of str object at 0x000002308561B030>,<built-in method strip of str object at 0x000002308561BE30>,<built-in method strip of str object at 0x000002308561B5F0>,<built-in method strip of str object at 0x0000023085618630>,<built-in method strip of str object at 0x00000230856273C0>
<built-in method strip of str object at 0x0000023085618A70>,<built-in method strip of str object at 0x00000230856274B0>,<built-in method strip of str object at 0x0000023085618270>,<built-in method strip of str object at 0x00000230856194B0>,<built-in method strip of str object at 0x00000230856186F0>,<built-in method strip of str object at 0x00000230856186B0>,<built-in method strip of str object at 0x0000023085627690>
<built-in method strip of str object at 0x0000023085618DB0>,<built-in method strip of str object at 0x000002308561BFB0>,<built-in method strip of str object at 0x00000230856277D0>,<built-in method strip of str object at 0x000002308561B4B0>,<built-in method strip of str object at 0x000002308561B5B0>,<built-in method strip of str object at 0x000002308561BA70>,<built-in method strip of str object at 0x00000230856279B0>
<built-in method strip of str object at 0x000002308561A9F0>,<built-in method strip of str object at 0x0000023085627AA0>,<built-in method strip of str object at 0x0000023085627B90>,<built-in method strip of str object at 0x000002308561AB30>,<built-in method strip of str object at 0x000002308561BDF0>,<built-in method strip of str object at 0x000002308561BCB0>,<built-in method strip of str object at 0x0000023085627D20>
<built-in method strip of str object at 0x0000023085618BF0>,<built-in method strip of str object at 0x0000023085618830>,<built-in method strip of str object at 0x0000023085627E60>,<built-in method strip of str object at 0x0000023085618DF0>,<built-in method strip of str object at 0x000002308561A5F0>,<built-in method strip of str object at 0x00000230856185B0>,<built-in method strip of str object at 0x00000230828D1FB0>
<built-in method strip of str object at 0x0000023085619970>,<built-in method strip of str object at 0x000002308561A6B0>,<built-in method strip of str object at 0x000002308561BB30>,<built-in method strip of str object at 0x000002308561B670>,<built-in method strip of str object at 0x000002308561AA70>,<built-in method strip of str object at 0x000002308561A3F0>,<built-in method strip of str object at 0x0000023085627640>
<built-in method strip of str object at 0x000002308561B330>,<built-in method strip of str object at 0x00000230856190F0>,<built-in method strip of str object at 0x000002308561A830>,<built-in method strip of str object at 0x0000023085619430>,<built-in method strip of str object at 0x000002308561AC70>,<built-in method strip of str object at 0x000002308561A1F0>,<built-in method strip of str object at 0x0000023085625E80>
<built-in method strip of str object at 0x000002308561AE70>,<built-in method strip of str object at 0x00000230856264C0>,<built-in method strip of str object at 0x0000023085627BE0>,<built-in method strip of str object at 0x000002308561A7B0>,<built-in method strip of str object at 0x000002308561B930>,<built-in method strip of str object at 0x0000023085619F30>,<built-in method strip of str object at 0x000002308562C170>
<built-in method strip of str object at 0x0000023085618FF0>,<built-in method strip of str object at 0x000002308562C9E0>,<built-in method strip of str object at 0x000002308561AEF0>,<built-in method strip of str object at 0x000002308561A070>,<built-in method strip of str object at 0x00000230856182F0>,<built-in method strip of str object at 0x00000230856183B0>,<built-in method strip of str object at 0x000002308562CC10>
<built-in method strip of str object at 0x0000023085618F30>,<built-in method strip of str object at 0x000002308562CD00>,<built-in method strip of str object at 0x000002308562CDF0>,<built-in method strip of str object at 0x00000230856198B0>,<built-in method strip of str object at 0x000002308561A1B0>,<built-in method strip of str object at 0x000002308561BF70>,<built-in method strip of str object at 0x000002308562CFD0>
<built-in method strip of str object at 0x000002308561B370>,<built-in method strip of str object at 0x000002308561B2B0>,<built-in method strip of str object at 0x000002308561A530>,<built-in method strip of str object at 0x000002308561B170>,<built-in method strip of str object at 0x00000230856192B0>,<built-in method strip of str object at 0x000002308561BC70>,<built-in method strip of str object at 0x000002308562C0D0>
1,Walmart,Retail,"611,289",6.7%,"2,100,000","Bentonville, Arkansas"
2,Amazon,Retail and cloud computing,"513,983",9.4%,"1,540,000","Seattle, Washington"
3,ExxonMobil,Petroleum industry,"413,680",44.8%,"62,000","Spring, Texas"
4,Apple,Electronics industry,"394,328",7.8%,"164,000","Cupertino, California"
5,UnitedHealth Group,Healthcare,"324,162",12.7%,"400,000","Minnetonka, Minnesota"
6,CVS Health,Healthcare,"322,467",10.4%,"259,500","Woonsocket, Rhode Island"
7,Berkshire Hathaway,Conglomerate,"302,089",9.4%,"383,000","Omaha, Nebraska"
8,Alphabet,Technology and Cloud Computing,"282,836",9.8%,"156,000","Mountain View, California"
9,McKesson Corporation,Health,"276,711",4.8%,"48,500","Irving, Texas"
10,Chevron Corporation,Petroleum industry,"246,252",51.6%,"43,846","San Ramon, California"
11,AmerisourceBergen,Pharmaceutical industry,"238,587",11.5%,"41,500","Chesterbrook, Pennsylvania"
12,Costco,Retail,"226,954",15.8%,"304,000","Issaquah, Washington"
13,Microsoft,Technology and Cloud Computing,"198,270",18.0%,"221,000","Redmond, Washington"
14,Cardinal Health,Healthcare,"181,364",11.6%,"46,035","Dublin, Ohio"
15,Cigna,Health Insurance,"180,516",3.7%,"70,231","Bloomfield, Connecticut"
16,Marathon Petroleum,Petroleum industry,"180,012",27.6%,"17,800","Findlay, Ohio"
17,Phillips 66,Petroleum industry,"175,702",53.0%,"13,000","Houston, Texas"
18,Valero Energy,Petroleum industry,"171,189",58.0%,"9,743","San Antonio, Texas"
19,Ford Motor Company,Automotive industry,"158,057",15.9%,"173,000","Dearborn, Michigan"
20,The Home Depot,Retail,"157,403",4.1%,"471,600","Atlanta, Georgia"
21,General Motors,Automotive industry,"156,735",23.4%,"167,000","Detroit, Michigan"
22,Elevance Health,Healthcare,"156,595",13.0%,"102,200","Indianapolis, Indiana"
23,JPMorgan Chase,Financial services,"154,792",21.7%,"293,723","New York City, New York"
24,Kroger,Retail,"148,258",7.5%,"430,000","Cincinnati, Ohio"
25,Centene,Healthcare,"144,547",14.7%,"74,300","St. Louis, Missouri"
26,Verizon Communications,Telecommunications,"136,835",2.4%,"117,100","New York City, New York"
27,Walgreens Boots Alliance,Pharmaceutical industry,"132,703",10.7%,"262,500","Deerfield, Illinois"
28,Fannie Mae,Financials,"121,596",19.7%,"8,000","Washington, D.C."
29,Comcast,Telecommunications,"121,427",4.3%,"186,000","Philadelphia, Pennsylvania"
30,AT&T,Conglomerate and Telecomunications,"120,741",28.5%,"160,700","Dallas, Texas"
31,Meta Platforms,Technology,"116,609",1.1%,"86,482","Menlo Park, California"
32,Bank of America,Financials,"115,053",22.6%,"216,823","Charlotte, North Carolina"
33,Target Corporation,Retail,"109,120",2.9%,"440,000","Minneapolis, Minnesota"
34,Dell Technologies,Technology,"102,301",4.4%,"133,000","Round Rock, Texas"
35,Archer Daniels Midland,Food industry,"101,556",19.1%,"41,181","Chicago, Illinois"
36,Citigroup,Financials,"101,078",26.6%,"238,104","New York City, New York"
37,United Parcel Service,Transportation,"100,338",3.1%,"404,700","Atlanta, Georgia"
38,Pfizer,Pharmaceutical industry,"100,330",23.4%,"83,000","New York City, New York"
39,Lowe's,Retail,"97,059",0.8%,"244,500","Mooresville, North Carolina"
40,Johnson & Johnson,Pharmaceutical industry,"94,943",1.2%,"152,700","New Brunswick, New Jersey"
41,FedEx,Transportation,"93,512",11.4%,"518,249","Memphis, Tennessee"
42,Humana,Health Insurance,"92,870",11.8%,"67,100","Louisville, Kentucky"
43,Energy Transfer Partners,Petroleum industry,"89,876",33.3%,"12,565","Dallas, Texas"
44,State Farm,Financials,"89,328",8.6%,"60,519","Bloomington, Illinois"
45,Freddie Mac,Financials,"86,717",31.6%,"7,819","McLean, Virginia"
46,PepsiCo,Beverage,"86,859",8.7%,"315,000","Purchase, New York"
47,Wells Fargo,Financials,"82,859",0.5%,"238,000","San Francisco, California"
48,The Walt Disney Company,Media,"82,722",22.7%,"195,800","Burbank, California"
49,ConocoPhillips,Petroleum industry,"82,156",69.9%,"9,500","Houston, Texas"
50,Tesla,Automotive and Energy,"81,462",51.4%,"127,855","Austin, Texas"
51,Procter & Gamble,Consumer products Manufacturing,"80,187",5.3%,"106,000","Cincinnati, Ohio"
52,United States Postal Service,Logistics,"78,620",2.0%,"576,000","Washington, D.C."
53,Albertsons,Retail,"77,650",8.0%,"198,650","Boise, Idaho"
54,General Electric,Conglomerate,"76,555",3.2%,"172,000","Boston, Massachusetts"
55,MetLife,Financials,"69,898",1.7%,"45,000","New York City, New York"
56,Goldman Sachs,Financials,"68,711",5.7%,"48,500","New York City, New York"
57,Sysco,Food Service,"68,636",33.8%,"70,510","Houston, Texas"
58,Bunge Limited,Food industry,"67,232",13.7%,"23,000","White Plains, New York"
59,RTX Corporation,Conglomerate,"67,074",4.2%,"182,000","Arlington County, Virginia"
60,Boeing,Aerospace and defense,"66,608",6.9%,"156,000","Arlington County, Virginia"
61,StoneX Group,Financials,"66,036",55.3%,305,"New York City, New York"
62,Lockheed Martin,Aerospace and Defense,"65,984",1.6%,"116,000","Bethesda, Maryland"
63,Morgan Stanley,Financials,"65,936",7.9%,"82,427","New York City, New York"
64,Intel,Technology,"63,054",20.1%,"131,900","Santa Clara, California"
65,HP,Technology,"62,983",0.8%,"58,000","Palo Alto, California"
66,TD Synnex,Infotech,"62,344",97.2%,"28,500","Clearwater, Florida"
67,IBM,Technology and Cloud Computing,"60,530",16.3%,"303,100","Armonk, New York"
68,HCA Healthcare,Healthcare,"60,233",2.5%,"250,500","Nashville, Tennessee"
69,Prudential Financial,Financials,"60,050",15.3%,"39,583","Newark, New Jersey"
70,Caterpillar,Machinery,"59,427",16.6%,"109,100","Deerfield, Illinois"
71,Merck & Co.,Pharmaceutical industry,"59,283",15.8%,"68,000","Kenilworth, New Jersey"
72,World Fuel Services,Petroleum industry and Logistics,"59,043",88.4%,"5,214","Miami, Florida"
73,New York Life Insurance Company,Insurance,"58,445",14.2%,"15,050","New York City, New York"
74,Enterprise Products,Petroleum industry,"58,186",42.6%,"7,300","Houston, Texas"
75,AbbVie,Pharmaceutical industry,"58,054",3.3%,"50,000","Lake Bluff, Illinois"
76,Plains All American Pipeline,Petroleum industry,"57,342",36.3%,"4,100","Houston, Texas"
77,Dow Chemical Company,Chemical industry,"56,902",3.5%,"37,800","Midland, Michigan"
78,AIG,Insurance,"56,437",8.4%,"26,200","New York City, New York"
79,American Express,Financial,"55,625",27.3%,"77,300","New York City, New York"
80,Publix,Retail,"54,942",13.5%,"242,000","Lakeland, Florida"
81,Charter Communications,Telecommunications,"54,022",4.5%,"101,700","Stamford, Connecticut"
82,Tyson Foods,Food Processing,"53,282",13.2%,"142,000","Springdale, Arkansas"
83,John Deere,Agriculture manufacturing,"52,577",19.4%,"82,239","Moline, Illinois"
84,Cisco,Telecom Hardware Manufacturing,"51,557",3.5%,"83,300","San Jose, California"
85,Nationwide Mutual Insurance Company,Financial,"51,450",8.6%,"24,791","Columbus, Ohio"
86,Allstate,Insurance,"51,412",3.4%,"54,250","Northfield Township, Cook County, Illinois"
87,Delta Air Lines,Airline,"50,582",69.2%,"95,000","Atlanta, Georgia"
88,Liberty Mutual,Insurance,"49,956",3.6%,"50,000","Boston, Massachusetts"
89,TJX,Retail,"49,936",2.9%,"329,000","Framingham, Massachusetts"
90,Progressive Corporation,Insurance,"49,611",4.0%,"55,063","Mayfield Village, Ohio"
91,American Airlines,Airline,"48,971",63.9%,"129,700","Fort Worth, Texas"
92,CHS,Agriculture cooperative,"47,194",24.3%,"10,014","Inver Grove Heights, Minnesota"
93,Performance Food Group,Food Processing,"47,194",61.6%,"34,825","Richmond, Virginia"
94,PBF Energy,Petroleum industry,"46,830",71.8%,"3,616","Parsippany–Troy Hills, New Jersey"
95,Nike,Apparel,"46,710",4.9%,"79,100","Beaverton, Oregon"
96,Best Buy,Retail,"46,298",10.6%,"71,100","Richfield, Minnesota"
97,Bristol-Myers Squibb,Pharmaceutical industry,"46,159",0.5%,"34,300","New York City, New York"
98,United Airlines,Airline,"44,955",82.5%,"92,795","Chicago, Illinois"
99,Thermo Fisher Scientific,Laboratory instruments,"44,915",14.5%,"130,000","Waltham, Massachusetts"
100,Qualcomm,Technology,"44,200",31.7%,"51,000","San Diego, California"
